QueryNumber;DocNumber;DocVotes
1;139;1222
1;151;2211
1;166;0001
1;311;0001
1;370;1010
1;392;0001
1;439;0001
1;440;0011
1;441;2122
1;454;0100
1;461;1121
1;502;0002
1;503;1000
1;505;0001
1;520;1010
1;522;0001
1;526;1011
1;527;1001
1;533;2222
1;593;1000
1;619;0001
1;737;0100
1;742;0100
1;789;0001
1;827;0010
1;835;0001
1;861;0001
1;875;1121
1;891;0001
1;921;1010
1;922;1010
1;1175;0100
1;1185;0001
1;1222;0001
2;169;1000
2;434;1001
2;454;0100
2;498;1000
2;499;1000
2;592;0002
2;875;1011
3;23;1000
3;40;0010
3;139;2122
3;190;0001
3;221;0001
3;246;0001
3;309;1000
3;311;0011
3;325;0001
3;345;0010
3;347;0010
3;356;0010
3;370;1001
3;374;0001
3;375;2221
3;439;0001
3;440;1120
3;454;1220
3;515;1000
3;520;0010
3;524;0010
3;526;1010
3;527;1220
3;533;0001
3;535;0010
3;560;0010
3;561;0001
3;571;0010
3;584;0010
3;604;0002
3;623;0010
3;633;2222
3;733;1000
3;742;1010
3;854;0100
3;856;2112
3;950;0010
3;967;0001
3;1144;1111
3;1161;0001
3;1172;1000
3;1175;0001
3;1196;0002
4;503;0001
4;538;0100
4;539;0100
4;540;0100
4;553;0001
4;604;2222
4;669;1010
4;711;2122
4;876;2222
5;23;2220
5;47;2221
5;50;0001
5;60;0001
5;114;0011
5;132;0001
5;135;0001
5;139;0010
5;151;2222
5;169;0001
5;189;0001
5;190;0001
5;197;0001
5;200;0001
5;226;0001
5;256;2211
5;265;0010
5;297;0001
5;298;0001
5;299;0001
5;311;0001
5;312;0001
5;325;1011
5;333;0001
5;343;0002
5;347;0012
5;349;0001
5;369;0001
5;370;1211
5;371;0001
5;374;2222
5;386;1001
5;392;0001
5;410;0001
5;420;0001
5;427;0001
5;428;0001
5;430;1001
5;434;0001
5;437;0001
5;439;2222
5;440;0010
5;441;0001
5;450;0001
5;461;2120
5;465;1002
5;478;0001
5;496;2120
5;497;2121
5;498;1122
5;499;2122
5;500;1012
5;501;0100
5;502;0100
5;503;2221
5;505;0001
5;511;1101
5;513;0010
5;516;1010
